antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Christmas & Seasonal,Garden,0.25372328944528383,0.39272609540254694,0.1162853442693719,0.45831561037856233,1.1670108397273313,1.0,0.016641587492835327,1.121084373544258,0.1917652368082433,0.2193384223918575,0.10800647694468786,0.37720671972624187
Garden,Christmas & Seasonal,0.39272609540254694,0.25372328944528383,0.1162853442693719,0.2960978290739214,1.1670108397273313,1.0,0.016641587492835327,1.0601994728513027,0.23565960770019592,0.2193384223918575,0.05678127031076729,0.37720671972624187
Stationery & Craft,Kitchen & Dining,0.4664903949924455,0.7571767753075761,0.410641053313188,0.8802776171197224,1.162578734354525,1.0,0.05742536032085066,2.0282191086628067,0.26211937336049784,0.5050773212982015,0.5069566223250435,0.711304715059291
Kitchen & Dining,Stationery & Craft,0.7571767753075761,0.4664903949924455,0.410641053313188,0.5423318129988598,1.162578734354525,1.0,0.05742536032085066,1.165712671670197,0.5759053876478316,0.5050773212982015,0.14215567497672396,0.711304715059291
Kitchen & Dining,Party & Celebrations,0.7571767753075761,0.3844161450464062,0.3366609108568962,0.4446265678449259,1.1566282362860987,1.0,0.04558993377448889,1.1084143016436325,0.5576812523374474,0.4182476369243146,0.0978102695741731,0.6601993030128617
Party & Celebrations,Kitchen & Dining,0.3844161450464062,0.7571767753075761,0.3366609108568962,0.8757720381807974,1.1566282362860987,1.0,0.04558993377448889,1.954658364642745,0.21998296244026236,0.4182476369243146,0.4884016470147861,0.6601993030128617
Toys & Novelty,Kitchen & Dining,0.3507986186056551,0.7571767753075761,0.30665875242823226,0.8741732041224427,1.1545166632552102,1.0,0.041042185610050075,1.9298212514981024,0.20615585817347068,0.38269360269360275,0.481817293066024,0.6395880273747904
Kitchen & Dining,Toys & Novelty,0.7571767753075761,0.3507986186056551,0.30665875242823226,0.405002850627138,1.1545166632552102,1.0,0.041042185610050075,1.091099986073236,0.5511691399300057,0.38269360269360275,0.08349371023373958,0.6395880273747904
Toys & Novelty,Home Decor,0.3507986186056551,0.8312648391970645,0.33142672134685947,0.9447777265036148,1.1365544191863024,1.0,0.039820164061077246,3.0555634550971673,0.1850700273614773,0.3896219233697031,0.6727281188247488,0.6717397233621611
Home Decor,Toys & Novelty,0.8312648391970645,0.3507986186056551,0.33142672134685947,0.39870172022070755,1.1365544191863024,1.0,0.039820164061077246,1.0796661211680754,0.7120490883229719,0.3896219233697031,0.07378773827031436,0.6717397233621611
Bags & Storage,Kitchen & Dining,0.4556442909561839,0.7571767753075761,0.3879775523418951,0.8514921837991474,1.12456194057624,1.0,0.04297427742838483,1.6350871685030528,0.20347881618116628,0.4703650399057962,0.3884118111479553,0.6819462059246593
Kitchen & Dining,Bags & Storage,0.7571767753075761,0.4556442909561839,0.3879775523418951,0.512400228050171,1.12456194057624,1.0,0.04297427742838483,1.1163986128767651,0.4561542883634679,0.4703650399057962,0.10426259181460841,0.6819462059246593
Home Decor,Garden,0.8312648391970645,0.39272609540254694,0.36407295488884095,0.43797468354430386,1.1152166577965155,1.0,0.037613560345551744,1.0805098752972704,0.612280510415531,0.4233810240963856,0.07451100368251636,0.6825075396287059
Garden,Home Decor,0.39272609540254694,0.8312648391970645,0.36407295488884095,0.927040395713108,1.1152166577965152,1.0,0.037613560345551744,2.312720339592778,0.17012628008435804,0.4233810240963856,0.5676087666630375,0.6825075396287059
Home Decor,Stationery & Craft,0.8312648391970645,0.4664903949924455,0.43173969350312974,0.5193768257059397,1.113370888835451,1.0,0.04396263032275943,1.1100372049083438,0.6034705767311549,0.49853573431366444,0.0991292944252528,0.7224414492902168
Stationery & Craft,Home Decor,0.4664903949924455,0.8312648391970645,0.43173969350312974,0.9255060728744939,1.113370888835451,1.0,0.04396263032275943,2.2650861259959276,0.19086198982889874,0.49853573431366444,0.5585156835657569,0.7224414492902168
Home Decor,Christmas & Seasonal,0.8312648391970645,0.25372328944528383,0.23435139218648823,0.28192145407335284,1.1111374706268342,1.0,0.02344014278520412,1.0392689139482374,0.5927712411880484,0.27550114184217206,0.03778513281904374,0.6027854824599006
Christmas & Seasonal,Home Decor,0.25372328944528383,0.8312648391970645,0.23435139218648823,0.9236495108464483,1.1111374706268342,1.0,0.02344014278520412,2.2100075935805084,0.13402716349927893,0.27550114184217206,0.5475128669671827,0.6027854824599006
Home Decor,Party & Celebrations,0.8312648391970645,0.3844161450464062,0.3492337578243039,0.4201233365790328,1.0928868154804374,1.0,0.029682132827547614,1.061577217682762,0.5037015617792006,0.4030640842000374,0.05800540616082011,0.6643008597549852
Party & Celebrations,Home Decor,0.3844161450464062,0.8312648391970645,0.3492337578243039,0.9084783829309376,1.0928868154804372,1.0,0.029682132827547614,1.8436645484050795,0.1380675651896529,0.4030640842000374,0.4576019803249557,0.6643008597549852
Kitchen & Dining,Christmas & Seasonal,0.7571767753075761,0.25372328944528383,0.2062918195553637,0.2724486887115165,1.073802445598006,1.0,0.014178437432752933,1.025737565138973,0.28304542680268563,0.2563879015491919,0.025091764222836155,0.5427534808934018
Christmas & Seasonal,Kitchen & Dining,0.25372328944528383,0.7571767753075761,0.2062918195553637,0.8130582730752871,1.073802445598006,1.0,0.014178437432752933,1.2989246899929205,0.0920972104564053,0.2563879015491919,0.230132425918049,0.5427534808934018
Bags & Storage,Home Decor,0.4556442909561839,0.8312648391970645,0.404327649471185,0.887375651350071,1.0675005239090891,1.0,0.02556657121843231,1.4982120902418368,0.11615990943913514,0.4581193445830276,0.3325377584968073,0.6868880853309913
Home Decor,Bags & Storage,0.8312648391970645,0.4556442909561839,0.404327649471185,0.48640051931191175,1.0675005239090891,1.0,0.02556657121843231,1.0598836827376121,0.37474293777486245,0.4581193445830276,0.05650024027441993,0.6868880853309913
Home Decor,Kitchen & Dining,0.8312648391970645,0.7571767753075761,0.6666306928556012,0.8019474196689388,1.0591283909139662,1.0,0.037216262485797125,1.226054335098916,0.3308581682079961,0.7231750863431483,0.18437546251217185,0.8411818056155412
Kitchen & Dining,Home Decor,0.7571767753075761,0.8312648391970645,0.6666306928556012,0.8804161915621437,1.0591283909139662,1.0,0.037216262485797125,1.4110201289551794,0.22990966488586756,0.7231750863431483,0.29129288840091044,0.8411818056155412
